Data Periods,Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),2,1454,1454,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),1,632,632,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),49,1277,1277,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),2,1130,1130,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),3,929,929,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),3,1780,1780,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),1,2200,2200,2.3,2.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),2,1354,1354,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),8,1213,1213,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),7,1316,1316,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),3,1569,1569,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),4,840,840,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),8,1041,1041,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),2,1528,1528,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),3,1059,1059,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,restroom,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),2,2093,2093,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),429,2374,2374,1.0,1.0
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),2,1401,1401,1.0,1.0
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),7,1290,1290,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),22,2051,2051,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),14,2246,2246,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),24,2870,2870,1.4,1.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),27,2003,2003,1.0,1.0
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),23,1980,1980,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),22,2189,2189,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),49,2907,2907,0.8,0.8
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),17,1772,1772,0.8,0.8
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),15,2164,2164,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),31,2377,2377,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),60,2335,2335,1.0,1.0
